session_id,entity_id,entity_type,if_risk_score,label,anomaly_type,is_cold_start
7314d0931af5,user_21f0d642,user,0.9999999973679422,anomaly,low_and_slow_exfiltration,1
662594527d1d,user_1a61615c,user,0.9918001589301287,anomaly,credential_stuffing,0
5d982f6f4c7e,user_471233c5,user,0.9788746908519448,anomaly,credential_stuffing,0
0ad8eb93e1e9,user_5d08b4fd,user,0.9753590813180257,anomaly,credential_stuffing,0
f9b863e8e8b3,user_df0bfbcc,user,0.9722770687261766,anomaly,credential_stuffing,0
39461c53aefd,user_21f0d642,user,0.9714105800648885,anomaly,device_spoofing,1
833162d8a33c,user_9b81f6fa,user,0.9709150793542027,anomaly,credential_stuffing,0
02be8bc56683,user_d8a3b805,user,0.9709150793542027,anomaly,credential_stuffing,0
71da600a1537,user_8726aaaf,user,0.970234430154055,anomaly,credential_stuffing,0
1187f474baf1,user_48d8b851,user,0.9688738223359625,anomaly,credential_stuffing,0
3a668f33bff6,user_54489d7e,user,0.9677470304394763,normal,none,1
7aa9f07a4790,user_ff26c9ec,user,0.9634405874142496,anomaly,credential_stuffing,0
30af8e7ea6c3,user_1a61615c,user,0.9540048591792123,normal,none,1
de3bc86ed4a7,user_b3163d00,user,0.9511072794414829,normal,none,1
77c9fea3d474,user_70658c5a,user,0.9465561923296453,anomaly,credential_stuffing,0
5b2222b7363f,user_54489d7e,user,0.9465561923296453,anomaly,credential_stuffing,0
a3149a9fd942,svc_8e47b6dc,service_account,0.9461895695005599,normal,none,1
60785b2567fe,user_850ca2b6,user,0.9452115994648699,anomaly,credential_stuffing,0
909c48e9ece4,user_3880f310,user,0.9418540946938411,anomaly,brute_force,0
7a15312d5a26,dev_ab5f9888,edge_device,0.9350516556655006,anomaly,credential_stuffing,0
a39e3ca41140,user_21f0d642,user,0.9269798252194651,anomaly,credential_stuffing,1
aa1497a68240,user_f4151d50,user,0.9258149644945293,anomaly,credential_stuffing,0
91d92979ae2c,dev_180f6880,edge_device,0.9250146351015459,anomaly,credential_stuffing,0
2ca09b628580,user_5d08b4fd,user,0.9194051666209916,normal,none,1
d0063d808788,user_70658c5a,user,0.9132064606968102,normal,none,1
1215b255b70e,user_21f0d642,user,0.9114454771287898,anomaly,low_and_slow_exfiltration,1
d889c219437f,user_f4151d50,user,0.9112012848026988,normal,none,1
5ca9084c0baf,svc_557cd228,service_account,0.9104320326577631,normal,none,1
a9cdb3c49f25,user_05fb4741,user,0.9074370468173759,anomaly,credential_stuffing,0
86de6a25c9d7,user_9f48adab,user,0.9058625000180018,normal,none,1
14d18dab294f,user_ff26c9ec,user,0.9003663740608632,normal,none,1
ac7a756ce320,user_5d08b4fd,user,0.889409427755739,normal,none,1
e652668e6a14,user_48d8b851,user,0.8893504539312947,normal,none,1
a4045473d6d6,user_9f48adab,user,0.8866791894108225,anomaly,credential_stuffing,0
1440ed6d9364,user_4c67d7fa,user,0.8866791894108225,anomaly,credential_stuffing,0
fd57c84c282c,user_4c67d7fa,user,0.8859153373783971,normal,none,1
016a090dcfd7,user_8726aaaf,user,0.8855718101875021,normal,none,1
9bae5b3f9bf4,user_df0bfbcc,user,0.8846416761185155,normal,none,1
e29c22e02b56,svc_2f8c9b0e,service_account,0.8832223264383213,normal,none,1
eaabe19a711c,user_3880f310,user,0.8796732743194822,anomaly,brute_force,0
532b4d027706,dev_5db0d72f,edge_device,0.8796732743194822,anomaly,credential_stuffing,0
567e4c66740b,svc_c0fa647c,service_account,0.876209594936544,anomaly,credential_stuffing,0
68578e30de0c,user_3880f310,user,0.8760356505682441,normal,none,1
df5d416dba84,svc_2f8c9b0e,service_account,0.8715233701442453,normal,none,1
42c53a8ac6c6,svc_76897e89,service_account,0.870079187474278,normal,none,1
99cd817d5104,svc_557cd228,service_account,0.865083906100218,anomaly,credential_stuffing,0
5c6b5deca47d,user_3880f310,user,0.8644342858207879,anomaly,brute_force,0
5addb25da9e0,user_d8a3b805,user,0.8626158360361089,anomaly,low_and_slow_exfiltration,0
b4c9eabbbcb0,svc_8e47b6dc,service_account,0.862548983703467,normal,none,1
d66b786db209,user_70658c5a,user,0.8622421416849203,normal,none,1
ac3067f2c215,user_4c67d7fa,user,0.8621376164187821,normal,none,1
c49b7a66517b,user_9f48adab,user,0.8606844339426282,anomaly,low_and_slow_exfiltration,0
3a9d5a98911f,user_8726aaaf,user,0.8587578952886272,anomaly,brute_force,0
7d62c431c78f,user_9f48adab,user,0.8587578952886272,anomaly,brute_force,0
2a0d2f47f734,dev_52556f96,edge_device,0.8584672764626374,anomaly,credential_stuffing,0
8fd0fff6751a,user_3880f310,user,0.8581151816793802,anomaly,brute_force,0
17d401c9b510,svc_c0fa647c,service_account,0.855546500395665,anomaly,brute_force,0
ded73201583f,svc_76897e89,service_account,0.8507753983307936,anomaly,credential_stuffing,1
54790ec61d7a,user_850ca2b6,user,0.8485259048617272,normal,none,1
c6249e0d712f,user_05fb4741,user,0.8477965992714747,normal,none,1
c7bb43c72b59,user_48d8b851,user,0.8458919271891578,normal,none,1
8509dccf0a20,dev_a5ce7ffe,edge_device,0.845038524122568,normal,none,1
853afa9f2505,user_9f48adab,user,0.8421637322398474,normal,none,1
0734c28bb5a5,user_54489d7e,user,0.84050070762307,anomaly,low_and_slow_exfiltration,0
615f31857f3e,user_ff26c9ec,user,0.8394947612405121,normal,none,1
46373ef8a041,user_471233c5,user,0.8392445725579211,normal,none,1
c1b187f036b0,user_05fb4741,user,0.8386688753886727,anomaly,lateral_movement,0
893f372dc4d7,user_b3163d00,user,0.8364693138734914,normal,none,1
b75e031527c4,user_3880f310,user,0.8356343033853699,anomaly,brute_force,0
69afd10e992d,svc_2f8c9b0e,service_account,0.8341933781315477,normal,none,1
3e7afa979513,user_54489d7e,user,0.8329468829639236,normal,none,1
53994b066abd,svc_2f8c9b0e,service_account,0.8328813196737581,anomaly,credential_stuffing,0
a613809c3ad1,user_8726aaaf,user,0.8286903188829609,anomaly,brute_force,0
36afd001bcd4,dev_1428c6b5,edge_device,0.828191611906695,anomaly,credential_stuffing,0
a15f7c900442,user_ff26c9ec,user,0.8275192282758284,anomaly,brute_force,0
810bf9ee1f54,dev_1428c6b5,edge_device,0.8273500176428451,normal,none,1
14d7c8e9036a,user_05fb4741,user,0.8248894177292202,anomaly,lateral_movement,0
a8df404b72b6,user_b3163d00,user,0.8232439447308927,normal,none,1
c4fb0b01cb1c,user_9f48adab,user,0.8225664825827802,anomaly,brute_force,0
214bb523654f,user_5d08b4fd,user,0.820034374436922,anomaly,low_and_slow_exfiltration,0
47156d0c9ab7,user_5d08b4fd,user,0.8184953345933828,anomaly,low_and_slow_exfiltration,0
8a0705a2950f,user_f4151d50,user,0.8184789278248191,normal,none,1
c34a586dcb62,user_df0bfbcc,user,0.8183647210943248,normal,none,1
75749d4637ef,user_850ca2b6,user,0.8156294928038147,anomaly,lateral_movement,0
61e16a053dbc,dev_3d8da41d,edge_device,0.8128909040322835,anomaly,low_and_slow_exfiltration,1
85c985cad45f,dev_3d8da41d,edge_device,0.8118745008680239,anomaly,lateral_movement,1
f6619afeb8d5,user_1a61615c,user,0.8111478488877133,anomaly,credential_stuffing,0
0d1c823201ab,user_1a61615c,user,0.8099840008431713,anomaly,lateral_movement,0
177f20fa1b07,user_5d08b4fd,user,0.8081428127043505,normal,none,0
f095fb7a277e,svc_76897e89,service_account,0.8078696560156915,normal,none,1
f6e4fc71bc0f,dev_a5ce7ffe,edge_device,0.807326315224588,anomaly,credential_stuffing,0
6745db71531b,user_8726aaaf,user,0.8065569687247305,anomaly,brute_force,0
be4f5320654e,svc_8e47b6dc,service_account,0.806014301355726,anomaly,credential_stuffing,0
25bf528570a2,user_d8a3b805,user,0.8051007942160502,anomaly,low_and_slow_exfiltration,0
dcada5831fed,dev_3d8da41d,edge_device,0.8038344911671416,anomaly,lateral_movement,1
e30dcffd3098,user_5d08b4fd,user,0.8035406638173999,anomaly,credential_stuffing,0
ff0de8b3cca7,user_48d8b851,user,0.8020528364665768,normal,none,0
ba1d3103232e,svc_c0fa647c,service_account,0.8018131064580061,normal,none,1
eea896b3a090,dev_5db0d72f,edge_device,0.8012252623947314,anomaly,credential_stuffing,0
ff29bb34965e,dev_09c9cb1b,edge_device,0.8010457813350391,anomaly,credential_stuffing,0
ed84eb5e4b26,user_9b81f6fa,user,0.80096478390708,normal,none,1
