entity_id,entity_type,home_geo,login_hour_mean,login_hour_std,usual_resources,usual_auth,device_fingerprint,sessions_per_day
user_6313e1d5,user,Mumbai_IN,8.075032265668002,0.7750293183691193,resource_018|resource_095|resource_014|resource_087|resource_115|resource_070|resource_012|resource_076,biometric,Win11-523c87,2.1191888777522814
user_d614497c,user,London_UK,8.697982680172219,1.1020187290499803,resource_026|resource_092|resource_084|resource_090|resource_070|resource_054|resource_029|resource_058|resource_076|resource_036|resource_104|resource_112|resource_001,token,Ubuntu22-292144,3.69045759261401
user_b3d9ac2d,user,NewYork_US,8.466438499435345,1.4572130722067813,resource_014|resource_012|resource_049|resource_013|resource_046|resource_109|resource_045|resource_078|resource_034|resource_104,password,Ubuntu22-7d2ce0,3.83769951868737
user_1f0d2068,user,Mumbai_IN,10.919347291938113,0.8785343772083535,resource_038|resource_107|resource_081|resource_080|resource_114|resource_111|resource_047|resource_074|resource_025|resource_091|resource_009|resource_006|resource_085,token,macOS14-6652f1,5.940886082643031
user_a12c91b7,user,London_UK,10.599451000265809,0.8801262250391662,resource_082|resource_107|resource_047|resource_021|resource_048|resource_046|resource_027|resource_086|resource_035|resource_090|resource_120|resource_088,password,Ubuntu22-2e8a7f,4.539913152788241
user_9e546f7d,user,Sydney_AU,10.187380393851047,0.6634024937619284,resource_035|resource_119|resource_082|resource_089|resource_072|resource_029|resource_088|resource_042|resource_108|resource_099|resource_100,password,Win11-e415e7,5.287210376027233
user_d9210195,user,Frankfurt_DE,9.203494361066987,0.5661886052115472,resource_113|resource_092|resource_041|resource_028|resource_084|resource_064|resource_051|resource_114|resource_118|resource_083|resource_059|resource_019|resource_034|resource_018,token,Ubuntu22-0b62fb,4.245472536652603
user_3b8acc88,user,NewYork_US,10.241041434956774,0.9284338272945797,resource_052|resource_047|resource_029|resource_018|resource_066|resource_064|resource_012|resource_097|resource_007|resource_111|resource_015|resource_020|resource_081|resource_021,biometric,Ubuntu22-3de466,2.2541108246078285
user_eb94151d,user,Singapore_SG,9.787665285083385,0.9680498877846773,resource_071|resource_111|resource_002|resource_088|resource_093|resource_015|resource_114|resource_069|resource_097,certificate,Ubuntu22-b37048,3.360701892124181
user_66ba42e5,user,NewYork_US,9.304295752007315,0.9537237063292064,resource_065|resource_098|resource_023|resource_117|resource_014|resource_112|resource_081|resource_039|resource_108,token,Win11-9f21ac,3.495655410364592
user_ff7fa7f6,user,Delhi_IN,9.618137090358877,1.2786264786305583,resource_118|resource_001|resource_077|resource_042|resource_063|resource_003|resource_015|resource_119|resource_047|resource_113|resource_107|resource_104|resource_040,token,Win11-ce39e5,2.9634863697889324
user_a968c527,user,Moscow_RU,10.840848335893982,0.5856534520678788,resource_105|resource_009|resource_098|resource_069|resource_099|resource_017|resource_085|resource_061|resource_071|resource_022|resource_034|resource_068,biometric,Win11-7d65d7,5.715653972008708
user_fa577f5e,user,London_UK,10.138846918457364,0.8989922999974291,resource_084|resource_048|resource_057|resource_116|resource_067|resource_058|resource_016|resource_032|resource_029|resource_009|resource_044|resource_003|resource_076|resource_071|resource_030,token,Win11-c0f69e,2.28397234403613
user_b1caf469,user,Bangalore_IN,8.686825351433463,1.405420013006128,resource_010|resource_066|resource_031|resource_036|resource_086|resource_063|resource_028|resource_070|resource_017|resource_093,biometric,Win11-716527,5.1384776971630135
user_f0610cf2,user,Singapore_SG,8.571229743085633,0.5969308142288233,resource_046|resource_055|resource_053|resource_060|resource_111|resource_094|resource_007|resource_087|resource_084|resource_083|resource_013,password,macOS14-bd6972,4.912854353764731
user_97f8435a,user,Mumbai_IN,8.745969001760857,0.6902089084408115,resource_018|resource_055|resource_024|resource_036|resource_060|resource_032|resource_112|resource_119|resource_010|resource_057|resource_104|resource_111,password,Win11-c70b14,4.608579575994089
user_bbe95ccb,user,Sydney_AU,10.508082755239855,1.4689962572847513,resource_022|resource_053|resource_063|resource_062|resource_028|resource_111|resource_052|resource_116,password,Win11-0abef2,3.5158924759076644
user_cc200b86,user,Singapore_SG,8.795609174516455,1.2840706019485695,resource_037|resource_055|resource_090|resource_094|resource_101|resource_072|resource_085|resource_092|resource_063|resource_020|resource_025|resource_038,token,Win11-5d4fbd,4.316721163265025
user_217a910c,user,Sydney_AU,8.182872714429548,0.8136048097697293,resource_075|resource_062|resource_065|resource_118|resource_110,token,Win11-f696c4,5.843115613097801
svc_c0781457,service_account,Mumbai_IN,19.580878542914792,4.0,resource_077|resource_009,certificate,svc-node-aa2bf2,30.256376608122704
svc_607039a2,service_account,London_UK,9.286837680320382,4.0,resource_032|resource_075|resource_077|resource_006|resource_080|resource_011,certificate,svc-node-9f73af,22.576747460076174
svc_2f87bee4,service_account,Moscow_RU,13.000219248414057,4.0,resource_120|resource_034|resource_027|resource_086,certificate,svc-node-5a59c7,31.485754023682443
svc_e80f2a16,service_account,London_UK,6.109133788221138,4.0,resource_086|resource_083|resource_039,certificate,svc-node-59e75a,23.71673717711356
svc_48c0fc4f,service_account,Mumbai_IN,0.21425550833766716,4.0,resource_073|resource_013|resource_010|resource_069|resource_028|resource_065,certificate,svc-node-3a8b83,17.95601244251204
dev_5bb77aa0,edge_device,Frankfurt_DE,20.25987599478811,6.0,resource_048,certificate,fw2.1-b68ca2,55.05476584061679
dev_0d2c7feb,edge_device,Sydney_AU,16.18141827700953,6.0,resource_104|resource_084|resource_068,token,fw1.8-74a73f,85.36833080923694
dev_a25980f6,edge_device,NewYork_US,21.43038890702978,6.0,resource_113,token,fw3.0-89789f,29.234293633528175
dev_7451748c,edge_device,Mumbai_IN,17.07558373156297,6.0,resource_035,certificate,fw1.8-a5d9c4,36.85037238455544
dev_ea48a18d,edge_device,Frankfurt_DE,4.682738183531417,6.0,resource_110|resource_034|resource_065,certificate,fw3.0-08adea,92.42691928634586
dev_8f5b3a2b,edge_device,Bangalore_IN,2.1228647573928687,6.0,resource_107|resource_036,token,fw2.1-cc47ad,46.684523088407055
dev_19a737eb,edge_device,Delhi_IN,14.653607677931731,6.0,resource_021|resource_095,certificate,fw1.8-ea3668,76.45339574079927
dev_cc20d721,edge_device,Sydney_AU,0.2224030909918192,6.0,resource_114,token,fw1.8-334e99,22.88225104486645
