session_id,entity_id,entity_type,risk_score,detection_method,if_risk_score,seq_risk_score,label,anomaly_type,is_cold_start
7314d0931af5,user_21f0d642,user,1.0,cold_start_isolation_forest,0.9999999973679422,,anomaly,low_and_slow_exfiltration,1
f6bacdf3564c,user_3880f310,user,1.0,sequence_lstm,0.6555903175939071,1.0,anomaly,brute_force,0
7ef7daf3494f,user_3880f310,user,0.9999459926550011,sequence_lstm,0.6637515002012926,0.8983772,anomaly,brute_force,0
313d34469ce8,user_471233c5,user,0.9998919853100021,sequence_lstm,0.6374981334336864,0.79232776,anomaly,brute_force,0
5c50d05fdc8a,user_3880f310,user,0.9998379779650033,sequence_lstm,0.7100964887679402,0.76622945,anomaly,brute_force,0
6056b22b4eb7,user_3880f310,user,0.9997839706200043,sequence_lstm,0.6860635820454635,0.7651749,anomaly,brute_force,0
e71b4ab343f3,user_3880f310,user,0.9997299632750054,sequence_lstm,0.4225117260629265,0.76467586,anomaly,brute_force,0
c6108cebead8,user_3880f310,user,0.9996759559300065,sequence_lstm,0.7292325162869367,0.75692147,anomaly,brute_force,0
802bccaa4140,user_3880f310,user,0.9996219485850075,sequence_lstm,0.6669050185467494,0.73883164,anomaly,brute_force,0
8bdfc6c45c08,user_3880f310,user,0.9995679412400087,sequence_lstm,0.6578882404937244,0.7185087,anomaly,brute_force,0
65340d7ef6bb,user_9f48adab,user,0.9995139338950098,sequence_lstm,0.6791600654527571,0.69369966,anomaly,brute_force,0
f047ea7e745d,user_3880f310,user,0.9994599265500108,sequence_lstm,0.6803757107078416,0.6895763,anomaly,brute_force,0
acd3a626c309,user_54489d7e,user,0.9994059192050119,sequence_lstm,0.6088078337053131,0.67878777,anomaly,brute_force,0
88cd8d90fc0d,user_3880f310,user,0.9993519118600129,sequence_lstm,0.6768333775679964,0.6698648,anomaly,brute_force,0
a6610362cd5f,user_3880f310,user,0.999297904515014,sequence_lstm,0.6653415132944095,0.6659449,anomaly,brute_force,0
e136439708e6,user_3880f310,user,0.9992438971700152,sequence_lstm,0.6905955259705879,0.6638699,anomaly,brute_force,0
bdabc5fef223,user_471233c5,user,0.9991898898250162,sequence_lstm,0.6277497863050616,0.6613785,anomaly,brute_force,0
cfedb900117f,user_471233c5,user,0.9991358824800173,sequence_lstm,0.3560113585204577,0.6610489,anomaly,brute_force,0
fe65e422fe61,user_3880f310,user,0.9990818751350183,sequence_lstm,0.6434288208269225,0.6566609,anomaly,brute_force,0
5d0fcac1f356,user_3880f310,user,0.9990278677900194,sequence_lstm,0.6492693537326394,0.63751704,anomaly,brute_force,0
9bba61695823,user_9f48adab,user,0.9989738604450206,sequence_lstm,0.6653415132944095,0.6201258,anomaly,brute_force,0
aa500407fcbe,user_54489d7e,user,0.9989198531000216,sequence_lstm,0.6106543312245224,0.6150389,anomaly,brute_force,0
5b38e02295c3,user_54489d7e,user,0.9988658457550227,sequence_lstm,0.6108434338339063,0.6105787,anomaly,brute_force,0
d058568a663d,user_471233c5,user,0.9988118384100237,sequence_lstm,0.647888772446357,0.5547048,anomaly,brute_force,0
5471afdf626b,user_54489d7e,user,0.9987578310650248,sequence_lstm,0.6100955351581927,0.5516577,anomaly,brute_force,0
b48d19af4946,user_9f48adab,user,0.998703823720026,sequence_lstm,0.6601892749847011,0.54156953,anomaly,brute_force,0
70d11b990601,user_9f48adab,user,0.998649816375027,sequence_lstm,0.6848951753067023,0.52222675,anomaly,brute_force,0
5374c2af5553,user_54489d7e,user,0.9985958090300281,sequence_lstm,0.6071009546114513,0.5111847,anomaly,brute_force,0
9daa3eb67122,user_54489d7e,user,0.9985418016850292,sequence_lstm,0.6100955351581927,0.50499785,anomaly,brute_force,0
f8cf02f3916d,user_b3163d00,user,0.9984877943400302,sequence_lstm,0.6601892749847011,0.5009097,anomaly,brute_force,0
b698cc6e58f5,user_3880f310,user,0.9984337869950313,sequence_lstm,0.6521985119843522,0.49833068,anomaly,brute_force,0
6f06e6c4e364,user_b3163d00,user,0.9983797796500324,sequence_lstm,0.6653415132944095,0.4896449,anomaly,brute_force,0
9ac67741833a,user_ff26c9ec,user,0.9983257723050335,sequence_lstm,0.7004777207026672,0.480327,anomaly,brute_force,0
d2430073960a,user_b3163d00,user,0.9982717649600346,sequence_lstm,0.6791600654527571,0.45504296,anomaly,brute_force,0
124e567770e1,user_ff26c9ec,user,0.9982177576150356,sequence_lstm,0.6894240540176436,0.4529202,anomaly,brute_force,0
b2976c77c874,user_9f48adab,user,0.9981637502700367,sequence_lstm,0.6938207223253745,0.4503158,anomaly,brute_force,0
8aded2bf1ccc,user_471233c5,user,0.9981097429250378,sequence_lstm,0.6146867609029107,0.4394161,anomaly,brute_force,0
aeb938ec8c00,user_9f48adab,user,0.9980557355800389,sequence_lstm,0.3874939719120748,0.41865134,anomaly,brute_force,0
4b4af9406277,user_3880f310,user,0.99800172823504,sequence_lstm,0.7016566739458057,0.4170163,anomaly,brute_force,0
5bf8e9ed8105,user_3880f310,user,0.997947720890041,sequence_lstm,0.6294284360206679,0.41636416,anomaly,brute_force,0
dbb998fe1239,user_54489d7e,user,0.9978937135450421,sequence_lstm,0.6054745589056482,0.41605455,anomaly,brute_force,0
10042a0d1a11,user_3880f310,user,0.9978397062000433,sequence_lstm,0.6969218624659237,0.41179255,anomaly,brute_force,0
a27791831ed1,user_ff26c9ec,user,0.9977856988550443,sequence_lstm,0.7251330944516033,0.40316844,anomaly,brute_force,0
45349267a576,user_3880f310,user,0.9977316915100454,sequence_lstm,0.7569249168553198,0.39436224,anomaly,brute_force,0
